<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,20210409,000000,317.0000000,317.7500000,315.5000000,316.8000000,2110090
MTSS,D,20210412,000000,316.5500000,318.2500000,315.8500000,317.3000000,3988580
MTSS,D,20210413,000000,317.3500000,317.7500000,315.0000000,315.7000000,4748870
MTSS,D,20210414,000000,316.5500000,316.9000000,315.3000000,316.5000000,4348090
MTSS,D,20210415,000000,315.7000000,316.8000000,315.4000000,315.8000000,3393250
MTSS,D,20210416,000000,316.6000000,322.9000000,315.7500000,321.7000000,10193980
MTSS,D,20210419,000000,321.8000000,323.8500000,320.5500000,321.4000000,5934810
MTSS,D,20210420,000000,322.0000000,322.8500000,320.0000000,321.5000000,4062260
MTSS,D,20210421,000000,321.6000000,322.5000000,319.3500000,321.4500000,5356970
MTSS,D,20210422,000000,321.6000000,323.9000000,320.4000000,321.8500000,6007210
MTSS,D,20210423,000000,321.9500000,323.6500000,320.6000000,322.0000000,4029580
MTSS,D,20210426,000000,322.4000000,324.2000000,321.5000000,323.6500000,2907400
MTSS,D,20210427,000000,323.1500000,325.9000000,321.5500000,323.1000000,4515050
MTSS,D,20210428,000000,323.3000000,324.5000000,319.5000000,322.8000000,4018330
MTSS,D,20210429,000000,323.0000000,323.4500000,320.5000000,321.6000000,2674340
MTSS,D,20210430,000000,321.8500000,322.4500000,320.0000000,320.6000000,2895460
MTSS,D,20210504,000000,321.3000000,321.9500000,317.3500000,319.9000000,3672260
MTSS,D,20210505,000000,320.4500000,324.5500000,319.7000000,323.4000000,4638860
MTSS,D,20210506,000000,323.8500000,323.9000000,322.1500000,323.1500000,2236490
MTSS,D,20210507,000000,323.4000000,324.7500000,322.0000000,324.0500000,3282260
MTSS,D,20210510,000000,324.2500000,325.1500000,323.1500000,324.1000000,3266940
MTSS,D,20210511,000000,323.5000000,325.6000000,323.0000000,324.6500000,3113910
MTSS,D,20210512,000000,325.0000000,325.2500000,322.5500000,322.8000000,4287980
